id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
CMD00001,CLT0460,P026,16/04/2023,1,6210,DONE,OUJDA,COD,LIV26,2023-04-19
CMD00002,CLT0284,P052,05/12/2024,8,298,KO,Rabat,cash,LIV08,09/12/2024
CMD00003,CLT0782,P068,07/05/2022,6,14613,en_cours,Fès,COD,LIV10,2022-05-10
CMD00004,CLT1718,P025,2024-09-04,4,10720,LIVRE,meknès,COD,LIV05,08/09/2024
CMD00005,CLT1123,P032,May 17 2022,7,9954,en_cours,OUJDA,COD,LIV21,2022-05-22
CMD00006,CLT0428,P076,2023-04-17,5,14457,annulé,marrakech,COD,LIV20,Apr 21 2023
CMD00007,CLT0544,P059,20/04/2023,10,4272,retourné,Fes,virement,LIV03,2023-04-25
CMD00008,CLT0970,P048,23/12/2023,5,3873,retourné,tanger,carte,LIV19,28/12/2023
CMD00009,CLT0602,P023,Jul 05 2024,6,1453,DONE,Tanger,cash,LIV09,11/07/2024
CMD00010,CLT1681,P086,19/12/2022,7,9755,OK,Casablanca,COD,LIV21,20/12/2022
CMD00011,CLT1993,P061,Jan 31 2022,3,7950,livre,casablanca,carte,LIV24,2022-02-06
CMD00012,CLT1769,P016,22/04/2022,1,8753,retourné,Rabat,COD,LIV06,2022-04-28
CMD00013,CLT0720,P014,Nov 08 2024,2,11503,annulé,Rabat,carte,LIV30,2024-11-10
CMD00014,CLT0012,P062,13/01/2022,4,10847,retourné,Tanger,cash,LIV19,Jan 17 2022
CMD00015,CLT0733,P063,Mar 05 2024,1,13834,LIVRE,meknès,cash,LIV07,2024-03-06
CMD00016,CLT0231,P046,2024-01-19,5,3244,annulé,TNG,virement,LIV04,21/01/2024
CMD00017,CLT1223,P002,26/04/2022,1,10780,OK,FES,virement,LIV28,30/04/2022
CMD00018,CLT1866,P081,Jun 27 2023,6,2170,LIVRE,Casablanca,cash,LIV22,02/07/2023
CMD00019,CLT1727,P007,2022-11-22,2,11270,LIVRE,Meknes,carte,LIV04,26/11/2022
